classification;digit;code;OJI;OPI;OSI;CAI
kldb92;3;142;6;7;6;8
kldb92;3;145;8;8;8;9
kldb92;3;150;9;9;8;10
kldb92;3;152;8;9;9;9
kldb92;3;153;8;8;8;10
kldb92;3;161;10;9;9;9
kldb92;3;162;8;8;8;9
kldb92;3;164;7;8;8;8
kldb92;3;171;4;4;6;6
kldb92;3;172;6;6;8;8
kldb92;3;173;7;7;8;8
kldb92;3;174;8;9;9;9
kldb92;3;175;10;9;10;9
kldb92;3;176;6;6;8;8
kldb92;3;178;9;9;10;8
kldb92;3;179;8;8;9;8
kldb92;3;181;6;9;3;10
kldb92;3;191;10;10;10;10
kldb92;3;194;10;10;10;10
kldb92;3;201;10;10;9;10
kldb92;3;211;9;9;8;9
kldb92;3;212;6;8;5;10
kldb92;3;213;8;9;6;8
kldb92;3;220;10;9;9;10
kldb92;3;221;10;10;9;10
kldb92;3;222;9;9;8;9
kldb92;3;224;10;10;10;10
kldb92;3;225;8;8;8;9
kldb92;3;229;10;9;9;10
kldb92;3;231;10;10;8;10
kldb92;3;233;10;10;7;10
kldb92;3;234;10;10;8;10
kldb92;3;235;10;10;7;10
kldb92;3;241;10;10;8;10
kldb92;3;245;6;7;6;10
kldb92;3;250;9;10;5;10
kldb92;3;252;10;10;6;9
kldb92;3;254;10;10;4;10
kldb92;3;255;10;10;7;10
kldb92;3;256;10;10;6;10
kldb92;3;259;10;10;5;10
kldb92;3;261;8;10;4;9
kldb92;3;264;10;10;5;10
kldb92;3;265;9;10;5;10
kldb92;3;266;9;10;4;10
kldb92;3;267;10;10;4;10
kldb92;3;268;10;10;6;10
kldb92;3;269;8;9;6;9
kldb92;3;270;10;10;7;9
kldb92;3;273;10;10;7;9
kldb92;3;274;10;10;6;10
kldb92;3;276;10;10;7;9
kldb92;3;278;9;9;8;9
kldb92;3;281;9;9;9;9
kldb92;3;282;9;10;5;9
kldb92;3;283;10;9;8;9
kldb92;3;287;10;10;8;9
kldb92;3;290;7;8;6;8
kldb92;3;292;6;7;6;8
kldb92;3;293;7;8;7;8
kldb92;3;294;7;8;6;8
kldb92;3;295;7;6;8;8
kldb92;3;300;5;6;3;8
kldb92;3;302;4;5;2;9
kldb92;3;303;4;6;2;10
kldb92;3;304;4;4;2;8
kldb92;3;305;5;7;2;10
kldb92;3;307;4;5;2;10
kldb92;3;308;4;5;3;9
kldb92;3;309;5;6;3;9
kldb92;3;310;7;8;5;8
kldb92;3;311;7;7;7;8
kldb92;3;312;6;6;5;7
kldb92;3;313;6;7;4;10
kldb92;3;315;5;5;4;8
kldb92;3;316;6;6;7;8
kldb92;3;317;6;6;7;7
kldb92;3;318;7;8;6;9
kldb92;3;321;7;6;9;8
kldb92;3;322;7;6;9;8
kldb92;3;323;8;9;8;8
kldb92;3;331;10;10;8;10
kldb92;3;332;10;10;9;10
kldb92;3;341;7;7;6;8
kldb92;3;351;4;4;4;6
kldb92;3;352;5;5;4;7
kldb92;3;353;6;6;6;8
kldb92;3;354;5;5;6;7
kldb92;3;358;4;4;4;7
kldb92;3;359;6;7;6;7
kldb92;3;361;5;4;6;8
kldb92;3;372;7;10;4;10
kldb92;3;373;8;10;6;10
kldb92;3;374;9;10;6;10
kldb92;3;378;9;10;4;10
kldb92;3;391;10;9;9;10
kldb92;3;392;8;8;8;9
kldb92;3;393;7;7;8;9
kldb92;3;401;8;9;6;6
kldb92;3;411;8;8;8;9
kldb92;3;421;10;9;8;9
kldb92;3;423;10;9;9;10
kldb92;3;424;10;10;9;10
kldb92;3;431;8;8;8;8
kldb92;3;435;10;9;9;10
kldb92;3;440;9;10;3;10
kldb92;3;441;9;10;1;10
kldb92;3;442;8;10;3;10
kldb92;3;443;10;10;3;10
kldb92;3;460;10;10;7;10
kldb92;3;461;10;10;4;10
kldb92;3;463;10;10;7;10
kldb92;3;465;10;10;5;10
kldb92;3;466;10;10;6;10
kldb92;3;472;7;10;1;10
kldb92;3;481;10;10;3;10
kldb92;3;482;10;10;4;10
kldb92;3;483;10;10;4;10
kldb92;3;484;10;10;4;10
kldb92;3;485;8;10;3;9
kldb92;3;486;10;10;3;10
kldb92;3;487;10;10;3;10
kldb92;3;488;10;10;4;10
kldb92;3;491;6;9;3;9
kldb92;3;492;6;7;4;8
kldb92;3;501;10;10;5;10
kldb92;3;502;10;10;8;10
kldb92;3;505;10;9;8;9
kldb92;3;506;10;10;8;10
kldb92;3;510;10;10;4;10
kldb92;3;511;10;10;4;10
kldb92;3;512;10;10;8;10
kldb92;3;521;6;7;7;7
kldb92;3;522;7;8;8;7
kldb92;3;523;8;7;8;7
kldb92;3;531;9;9;10;8
kldb92;3;540;9;9;9;9
kldb92;3;541;7;7;8;9
kldb92;3;544;8;9;8;9
kldb92;3;545;7;8;8;10
kldb92;3;546;8;9;8;9
kldb92;3;549;8;8;9;9
kldb92;3;550;9;9;8;8
kldb92;3;600;3;2;4;5
kldb92;3;601;1;1;2;4
kldb92;3;602;2;2;3;4
kldb92;3;603;2;3;3;5
kldb92;3;604;2;3;2;5
kldb92;3;605;3;2;3;5
kldb92;3;606;4;3;4;6
kldb92;3;607;3;2;3;5
kldb92;3;608;4;4;3;6
kldb92;3;609;1;2;2;4
kldb92;3;611;3;4;3;6
kldb92;3;612;2;4;2;6
kldb92;3;620;4;4;3;6
kldb92;3;621;5;5;6;6
kldb92;3;622;4;4;4;6
kldb92;3;623;3;4;2;5
kldb92;3;624;3;4;1;6
kldb92;3;625;5;5;5;6
kldb92;3;626;4;6;2;6
kldb92;3;627;4;5;3;7
kldb92;3;628;3;3;3;5
