classification;digit;code;OJI;OPI;OSI;HWI;CAI
isco88;2;51;8;7;9;7;7
isco88;2;52;6;6;7;7;6
isco88;2;61;9;10;4;10;10
isco88;2;71;10;10;4;10;10
isco88;2;72;8;9;5;8;9
isco88;2;73;7;7;8;6;8
isco88;2;74;7;8;4;9;8
isco88;2;81;10;10;10;9;10
isco88;2;82;9;9;10;9;9
isco88;2;83;9;8;9;6;7
isco88;2;91;7;7;9;8;7
isco88;2;92;9;10;7;9;7
isco88;2;93;7;8;6;10;8
isco88;2;99;6;6;8;5;7
isco88;3;11;6;5;7;6;7
isco88;3;111;3;1;6;3;3
isco88;3;114;2;1;4;2;1
isco88;3;120;3;2;5;2;1
isco88;3;121;3;1;4;3;3
isco88;3;122;3;3;8;3;3
isco88;3;123;2;1;5;1;1
isco88;3;130;4;4;7;5;4
isco88;3;131;5;5;8;6;5
isco88;3;211;3;3;4;3;4
isco88;3;212;1;1;2;1;3
isco88;3;213;2;1;5;1;2
isco88;3;214;1;1;1;2;5
isco88;3;221;5;5;5;4;6
isco88;3;222;6;6;9;5;7
isco88;3;231;4;4;5;3;3
isco88;3;232;5;4;7;4;4
isco88;3;233;5;4;7;4;4
isco88;3;234;5;5;7;5;3
isco88;3;235;4;4;5;4;3
isco88;3;241;1;1;3;1;1
isco88;3;242;2;1;4;1;1
isco88;3;243;3;3;2;5;4
isco88;3;244;3;3;4;2;2
isco88;3;245;5;4;8;2;3
isco88;3;246;3;2;7;3;2
isco88;3;247;1;1;2;2;2
isco88;3;311;4;5;1;4;6
isco88;3;312;3;3;3;1;3
isco88;3;313;6;6;10;7;5
isco88;3;314;7;6;10;4;6
isco88;3;315;5;5;5;5;5
isco88;3;321;5;5;6;5;7
isco88;3;322;5;6;3;5;6
isco88;3;323;8;7;10;9;6
isco88;3;332;6;6;5;7;4
isco88;3;333;6;6;8;6;5
isco88;3;334;5;5;5;5;5
isco88;3;341;2;2;2;3;1
isco88;3;342;3;3;4;3;3
isco88;3;343;2;2;2;1;1
isco88;3;344;1;2;1;2;2
isco88;3;345;4;3;9;4;4
isco88;3;346;6;5;9;6;3
isco88;3;347;3;4;5;3;3
isco88;3;348;4;4;6;5;3
isco88;3;411;3;3;1;3;3
isco88;3;412;1;3;1;3;2
isco88;3;413;4;4;4;5;4
isco88;3;414;5;5;5;6;4
isco88;3;419;3;3;2;4;3
isco88;3;421;5;5;8;5;5
isco88;3;422;4;4;8;3;4
isco88;3;511;9;7;10;6;8
isco88;3;512;7;7;9;7;7
isco88;3;513;7;6;8;8;6
isco88;3;514;8;7;9;6;8
isco88;3;516;8;7;10;5;8
isco88;3;522;6;6;6;8;5
isco88;3;610;9;10;6;10;9
isco88;3;611;9;10;6;10;9
isco88;3;612;9;10;6;10;9
isco88;3;614;10;10;2;10;10
isco88;3;711;10;10;7;10;10
isco88;3;712;10;10;4;10;10
isco88;3;713;10;10;3;10;10
isco88;3;714;10;10;7;10;10
isco88;3;721;9;9;5;9;10
isco88;3;722;9;9;6;8;9
isco88;3;723;9;9;7;8;9
isco88;3;724;7;8;4;7;8
isco88;3;731;6;7;5;5;9
isco88;3;732;9;8;9;6;9
isco88;3;733;6;7;7;6;8
isco88;3;734;9;8;9;7;8
isco88;3;741;8;8;8;10;9
isco88;3;742;8;8;6;10;10
isco88;3;743;;7;;6;8
isco88;3;744;6;8;4;6;9
isco88;3;811;10;9;9;7;10
isco88;3;812;10;10;10;10;10
isco88;3;813;10;10;10;9;10
isco88;3;814;10;9;10;10;10
isco88;3;815;10;9;10;9;10
isco88;3;816;9;8;9;7;10
isco88;3;821;10;9;10;7;9
isco88;3;822;8;8;7;6;9
isco88;3;823;10;9;10;9;9
isco88;3;824;9;8;8;9;9
isco88;3;825;10;9;9;10;9
isco88;3;826;10;9;10;9;10
isco88;3;827;10;9;10;10;9
isco88;3;828;7;8;9;6;8
isco88;3;829;10;9;10;7;9
isco88;3;831;9;8;10;5;7
isco88;3;832;8;7;9;6;7
isco88;3;833;9;9;7;7;8
isco88;3;913;7;8;8;7;7
isco88;3;914;7;8;6;9;8
isco88;3;915;7;7;10;6;7
isco88;3;916;9;9;7;9;8
isco88;3;921;;10;;10;7
isco88;3;931;8;9;5;10;8
isco88;3;932;8;9;9;9;8
isco88;3;933;7;8;6;9;7
isco88;3;995;7;7;8;5;7
isco88;3;997;6;5;8;5;6
isco88;3;998;5;6;6;5;7
isco88;4;110;5;5;7;6;7
isco88;4;1110;3;1;6;2;3
isco88;4;1140;3;1;5;3;1
isco88;4;1142;1;1;3;1;2
isco88;4;1200;3;3;5;2;1
isco88;4;1210;1;1;3;3;4
isco88;4;1222;5;5;8;5;7
isco88;4;1227;2;1;6;1;1
isco88;4;1229;4;3;9;4;5
isco88;4;1231;2;1;5;1;1
isco88;4;1232;1;1;2;1;1
isco88;4;1233;3;1;6;3;1
isco88;4;1234;3;3;6;4;5
isco88;4;1235;2;2;3;1;2
isco88;4;1236;3;1;6;1;1
isco88;4;1239;3;2;5;3;1
isco88;4;1300;3;1;7;3;3
isco88;4;1311;4;4;7;6;5
isco88;4;1314;6;5;8;7;3
isco88;4;1315;7;5;9;7;7
isco88;4;1316;4;4;8;6;5
isco88;4;2111;4;4;6;4;2
isco88;4;2113;3;4;3;3;6
isco88;4;2114;3;3;5;5;5
isco88;4;2121;1;1;2;2;2
isco88;4;2122;1;2;2;2;4
isco88;4;2131;2;1;5;3;1
isco88;4;2139;2;1;5;1;1
isco88;4;2141;2;2;2;2;4
isco88;4;2142;3;3;3;3;5
isco88;4;2143;2;3;1;3;5
isco88;4;2144;2;1;4;2;3
isco88;4;2145;2;1;3;1;4
isco88;4;2146;3;4;2;3;7
isco88;4;2147;3;4;2;4;7
isco88;4;2148;1;1;1;3;4
isco88;4;2149;3;3;2;3;5
isco88;4;2211;4;5;4;4;6
isco88;4;2212;4;5;5;4;7
isco88;4;2213;4;4;6;4;6
isco88;4;2221;7;5;9;5;5
isco88;4;2222;8;7;10;4;7
isco88;4;2223;6;7;9;6;8
isco88;4;2224;5;4;8;4;6
isco88;4;2310;3;3;5;1;3
isco88;4;2320;5;4;8;4;4
isco88;4;2331;5;5;7;4;5
isco88;4;2340;5;5;7;6;3
isco88;4;2359;3;4;4;4;4
isco88;4;2411;1;1;3;2;1
isco88;4;2412;2;1;4;1;2
isco88;4;2419;3;2;3;2;2
isco88;4;2421;1;1;2;1;1
isco88;4;2422;3;1;7;2;1
isco88;4;2429;1;1;2;1;1
isco88;4;2431;3;3;3;5;7
isco88;4;2432;2;3;2;5;5
isco88;4;2441;2;3;3;2;3
isco88;4;2442;3;3;4;4;4
isco88;4;2443;2;1;4;1;1
isco88;4;2444;4;4;6;3;4
isco88;4;2445;3;3;5;3;1
isco88;4;2446;4;4;6;5;4
isco88;4;2451;3;1;6;1;1
isco88;4;2452;4;5;7;4;5
isco88;4;2453;7;5;10;1;5
isco88;4;2455;5;4;9;4;5
isco88;4;2460;4;3;8;4;2
isco88;4;2470;1;1;1;1;2
isco88;4;3111;5;6;1;5;9
isco88;4;3112;2;4;1;4;6
